N,data_type,method,iterations,warmup,cpu_threads,requested_zero_probability,nnz_a,actual_sparsity_a,h2d_ms,h2d_stdev_ms,compute_ms,compute_stdev_ms,d2h_ms,d2h_stdev_ms,total_gpu_ms,total_gpu_stdev_ms,total_wall_ms,total_wall_stdev_ms,launch_overhead_us,launch_overhead_stdev_us,setup_ms,compute_gops,end_to_end_gops,verified,max_abs_error,max_rel_error,checked_elements,device_name,compute_capability,notes
128,float,cuda_tiled_shared,5,2,2,0,16384,0,0.0206655997783,0.00277795382864,0.0141440000385,0.00153399863464,0.0117119999602,0.000112683428032,0.0548479996622,0.0042680364305,0.066211,0.00768418563024,3.0844,0.979418929774,0.802858,296.542985618,76.471412373,1,2.86102294922e-06,2.26497650146e-06,16384,Tesla T4,7.5,Native CUDA tiled kernel; 16x16 blocking and shared-memory reuse.
128,float,cublas_sgemm,5,2,2,0,16384,0,0.0262975998223,0.0161174232394,0.0112255999818,0.00145807674493,0.0136447999626,0.000555953465699,0.0595392003655,0.0168626905319,0.0663704,0.0167452309939,10.433,3.43536821898,18.296981,373.637400832,70.4460922258,1,7.62939453125e-06,2.59280204773e-06,16384,Tesla T4,7.5,Native cuBLAS SGEMM; pedantic FP32 math mode for reproducible verification.
128,float,cusparse_spmm_fp32,5,2,2,0,16384,0,0.0279615994543,0.000549953666698,0.0223168004304,0.00178485443726,0.0148672003299,8.95999904189e-05,0.0734656006098,0.00176138525031,0.080045,0.00167926138525,9.347,0.374732971594,6.494337,187.9437876,57.0920807179,1,5.72204589844e-06,3.45706939697e-06,16384,Tesla T4,7.5,"Native cuSPARSE CSR-by-dense SpMM in FP32. Host dense-to-CSR conversion is reported in setup_ms, not in CUDA-event total time."
256,float,cpu_naive,5,2,2,0,65536,0,0,0,21.012476,1.33732029805,0,0,0,0,21.012476,1.33732029805,0,0,0,1.59688139561,1.59688139561,1,0,0,65536,Tesla T4,7.5,Native scalar triple-loop CPU implementation.
256,float,cpu_blocked_mt,5,2,2,0,65536,0,0,0,3.5581492,0.223081868032,0,0,0,0,3.5581492,0.223081868032,0,0,0,9.43030494618,9.43030494618,1,0,0,65536,Tesla T4,7.5,Native blocked multi-threaded CPU implementation using std::thread; no BLAS library.
256,float,cuda_naive,5,2,2,0,65536,0,0.0501247994602,0.000187247525805,0.0663488000631,0.00163125916299,0.0250368002802,0.000358399748802,0.149772799015,0.00160658868826,0.1565872,0.00200219054038,3.111,0.944018855744,1.379224,505.727789622,224.03555399,1,5.72204589844e-06,3.57627868652e-06,65536,Tesla T4,7.5,Native CUDA one-thread-per-output-element kernel.
256,float,cuda_tiled_shared,5,2,2,0,65536,0,0.0526399999857,0.00551229128783,0.0491071991622,0.0017992537403,0.0269888002425,0.000274976597078,0.13736320138,0.00706702094897,0.1448652,0.00712755530038,3.1686,0.728792316096,0.927157,683.289468193,244.275261955,1,5.72204589844e-06,3.57627868652e-06,65536,Tesla T4,7.5,Native CUDA tiled kernel; 16x16 blocking and shared-memory reuse.
256,float,cublas_sgemm,5,2,2,0,65536,0,0.0502080000937,0.000391394716659,0.0260543994606,0.00208008858784,0.0240063998848,0.000605265157654,0.108543999493,0.00134962631404,0.1151182,0.00134532351499,15.662,4.63549535649,18.855592,1287.86050321,309.132076915,1,2.09808349609e-05,6.69346622365e-06,65536,Tesla T4,7.5,Native cuBLAS SGEMM; pedantic FP32 math mode for reproducible verification.
256,float,cusparse_spmm_fp32,5,2,2,0,65536,0,0.0761855989695,0.000402436054341,0.0514239996672,0.00202598121387,0.0245824001729,0.00309480829854,0.160550400615,0.00354611076862,0.167207,0.00376084751087,9.768,0.54355533297,7.387648,652.505293582,208.99625209,1,1.90734863281e-05,7.62939453125e-06,65536,Tesla T4,7.5,"Native cuSPARSE CSR-by-dense SpMM in FP32. Host dense-to-CSR conversion is reported in setup_ms, not in CUDA-event total time."
512,float,cpu_naive,5,2,2,0,262144,0,0,0,191.1941128,8.73876211893,0,0,0,0,191.1941128,8.73876211893,0,0,0,1.40399435981,1.40399435981,1,0,0,262144,Tesla T4,7.5,Native scalar triple-loop CPU implementation.
512,float,cpu_blocked_mt,5,2,2,0,262144,0,0,0,25.34821,0.955790569497,0,0,0,0,25.34821,0.955790569497,0,0,0,10.5899176313,10.5899176313,1,0,0,262144,Tesla T4,7.5,Native blocked multi-threaded CPU implementation using std::thread; no BLAS library.
512,float,cuda_naive,5,2,2,0,262144,0,0.190297597647,0.00157801183981,0.861811208725,0.00106008765306,0.0878335997462,0.000598117128179,1.15063040257,0.00164125205072,1.1596004,0.00171587430771,4.304,0.754404931055,2.714775,311.478260299,233.29424931,1,1.14440917969e-05,6.0647726059e-06,262144,Tesla T4,7.5,Native CUDA one-thread-per-output-element kernel.
512,float,cuda_tiled_shared,5,2,2,0,262144,0,0.192236796021,0.0034762418086,0.567161595821,0.0011061953904,0.0854143992066,0.000656865066064,0.855987203121,0.0036990432804,0.8643496,0.00359073126812,3.9364,0.606833288474,1.792961,473.296249213,313.597510595,1,1.14440917969e-05,6.0647726059e-06,262144,Tesla T4,7.5,Native CUDA tiled kernel; 16x16 blocking and shared-memory reuse.
